# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
52              	DILUPBiCGStab	4.33795200e-03	3.03292400e-05	1	3.12800090e-03	1.70232520e-05	1	false	DILUPBiCGStab	3.23308800e-03	2.32440180e-05	1	true	GAMG	8.63125790e-03	7.90262220e-05	15	true	DILUPBiCGStab	3.17706060e-02	1.57504440e-03	1	true	DILUPBiCGStab	8.29067150e-04	4.89126840e-05	1	true
53              	DILUPBiCGStab	4.27007880e-03	2.96813970e-05	1	3.08148470e-03	1.70494450e-05	1	false	DILUPBiCGStab	2.92463940e-03	1.59377880e-05	1	true	GAMG	8.33035990e-03	7.40888690e-05	15	true	DILUPBiCGStab	3.29787150e-02	1.63936360e-03	1	true	DILUPBiCGStab	7.72534030e-04	5.02689210e-05	1	true
54              	DILUPBiCGStab	4.20395310e-03	2.90677490e-05	1	3.03997130e-03	1.70292420e-05	1	false	DILUPBiCGStab	2.65604630e-03	2.52043370e-04	1	true	GAMG	8.05201780e-03	6.93043290e-05	15	true	DILUPBiCGStab	3.39479910e-02	1.69753680e-03	1	true	DILUPBiCGStab	7.16050400e-04	4.97610870e-05	1	true
55              	DILUPBiCGStab	4.13938200e-03	2.85026820e-05	1	3.00095630e-03	1.68566960e-05	1	false	DILUPBiCGStab	2.46958210e-03	1.70799780e-05	1	true	GAMG	7.78943370e-03	6.49545650e-05	15	true	DILUPBiCGStab	3.46410970e-02	1.74533640e-03	1	true	DILUPBiCGStab	6.64410430e-04	4.69430690e-05	1	true
56              	DILUPBiCGStab	4.07652170e-03	2.79387650e-05	1	2.96568770e-03	1.66234370e-05	1	false	DILUPBiCGStab	2.27043090e-03	2.17698310e-04	1	true	GAMG	7.52987930e-03	6.09032910e-05	15	true	DILUPBiCGStab	3.50714310e-02	1.77811140e-03	1	true	DILUPBiCGStab	6.17982530e-04	4.83816280e-05	1	true
57              	DILUPBiCGStab	4.01516550e-03	2.73926840e-05	1	2.93116130e-03	1.64664540e-05	1	false	DILUPBiCGStab	2.13876070e-03	1.48937790e-05	1	true	GAMG	7.27334380e-03	5.70625720e-05	15	true	DILUPBiCGStab	3.52178770e-02	1.79538430e-03	1	true	DILUPBiCGStab	5.73431310e-04	4.63736410e-05	1	true
58              	DILUPBiCGStab	3.95510070e-03	2.68903710e-05	1	2.90035190e-03	1.63450280e-05	1	false	DILUPBiCGStab	1.97826470e-03	1.89486980e-04	1	true	GAMG	7.02898210e-03	5.35612330e-05	15	true	DILUPBiCGStab	3.50935290e-02	1.79507220e-03	1	true	DILUPBiCGStab	5.36851580e-04	4.79694980e-05	1	true
59              	DILUPBiCGStab	3.89730450e-03	2.64498020e-05	1	2.87037680e-03	1.63038280e-05	1	false	DILUPBiCGStab	1.87184600e-03	1.29840240e-05	1	true	GAMG	6.81463670e-03	6.69324590e-05	13	true	DILUPBiCGStab	3.46059280e-02	1.77226760e-03	1	true	DILUPBiCGStab	5.02636100e-04	4.49613960e-05	1	true
60              	DILUPBiCGStab	3.84104300e-03	2.60039590e-05	1	2.84294710e-03	1.63568920e-05	1	false	DILUPBiCGStab	1.73552960e-03	1.67547180e-04	1	true	GAMG	6.62315300e-03	5.16006950e-05	15	true	DILUPBiCGStab	3.37888750e-02	1.73509510e-03	1	true	DILUPBiCGStab	4.75154970e-04	4.65632510e-05	1	true
61              	DILUPBiCGStab	3.78529070e-03	2.55469610e-05	1	2.81707310e-03	1.64986030e-05	1	false	DILUPBiCGStab	1.63828750e-03	1.12858780e-05	1	true	GAMG	6.46836350e-03	6.16095020e-05	13	true	DILUPBiCGStab	3.27720110e-02	1.68861200e-03	1	true	DILUPBiCGStab	4.49072050e-04	4.41531170e-05	1	true
62              	DILUPBiCGStab	3.73111270e-03	2.51023310e-05	1	2.79300010e-03	1.67301630e-05	1	false	DILUPBiCGStab	1.51450660e-03	1.45526540e-04	1	true	GAMG	6.31092630e-03	6.14017370e-05	13	true	DILUPBiCGStab	3.15355330e-02	1.63439440e-03	1	true	DILUPBiCGStab	4.29050640e-04	4.13217080e-06	1	true
63              	DILUPBiCGStab	3.67811320e-03	2.46916930e-05	1	2.77130300e-03	1.71146590e-05	1	false	DILUPBiCGStab	1.42085880e-03	9.59159170e-06	1	true	GAMG	6.18762960e-03	6.04199320e-05	13	true	DILUPBiCGStab	3.02069330e-02	1.58219070e-03	1	true	DILUPBiCGStab	4.08609540e-04	3.70340500e-05	1	true
64              	DILUPBiCGStab	3.62648290e-03	2.43162760e-05	1	2.75059650e-03	1.76359200e-05	1	false	DILUPBiCGStab	1.30854700e-03	1.22924480e-04	1	true	GAMG	6.06654140e-03	5.81875380e-05	13	true	DILUPBiCGStab	2.88754720e-02	1.53778390e-03	1	true	DILUPBiCGStab	3.94212650e-04	4.08921980e-06	1	true
65              	DILUPBiCGStab	3.57620390e-03	2.39598130e-05	1	2.73125010e-03	1.82213180e-05	1	false	DILUPBiCGStab	1.22845790e-03	1.22396840e-04	1	true	GAMG	5.96973630e-03	5.55235290e-05	13	true	DILUPBiCGStab	2.75838220e-02	1.49985690e-03	1	true	DILUPBiCGStab	3.74340580e-04	3.59688890e-05	1	true
66              	DILUPBiCGStab	3.52688050e-03	2.36214470e-05	1	2.71295320e-03	1.88731320e-05	1	false	DILUPBiCGStab	1.14955920e-03	1.14461030e-04	1	true	GAMG	5.88960120e-03	5.30024240e-05	13	true	DILUPBiCGStab	2.63390430e-02	1.46159940e-03	1	true	DILUPBiCGStab	3.60291410e-04	3.87397040e-06	1	true
67              	DILUPBiCGStab	3.47838480e-03	2.33204210e-05	1	2.69581760e-03	1.95586740e-05	1	false	DILUPBiCGStab	1.08025590e-03	1.05404700e-04	1	true	GAMG	5.82225140e-03	5.06694920e-05	13	true	DILUPBiCGStab	2.51620800e-02	1.42334380e-03	1	true	DILUPBiCGStab	3.43811460e-04	2.82595550e-06	1	true
68              	DILUPBiCGStab	3.43047760e-03	2.30318750e-05	1	2.67835550e-03	2.02830010e-05	1	false	DILUPBiCGStab	1.02124670e-03	9.77257660e-05	1	true	GAMG	5.77496040e-03	4.81620240e-05	13	true	DILUPBiCGStab	2.40419880e-02	1.38232620e-03	1	true	DILUPBiCGStab	3.32223400e-04	3.27955850e-05	1	true
69              	DILUPBiCGStab	3.38412270e-03	2.27433410e-05	1	2.66273220e-03	2.10706620e-05	1	false	DILUPBiCGStab	9.70864410e-04	9.17713780e-05	1	true	GAMG	5.70256750e-03	4.55054720e-05	13	true	DILUPBiCGStab	2.29783130e-02	1.33344760e-03	1	true	DILUPBiCGStab	3.19615310e-04	3.73130620e-06	1	true
70              	DILUPBiCGStab	3.33797500e-03	2.24680870e-05	1	2.64667280e-03	2.18457040e-05	1	false	DILUPBiCGStab	9.29557720e-04	8.69135570e-05	1	true	GAMG	5.65972400e-03	4.25547730e-05	13	true	DILUPBiCGStab	2.19872500e-02	1.28138620e-03	1	true	DILUPBiCGStab	3.07803660e-04	2.75207950e-06	1	true
71              	DILUPBiCGStab	3.29246790e-03	2.22476830e-05	1	2.63158050e-03	2.26236020e-05	1	false	DILUPBiCGStab	9.01554520e-04	8.33192190e-05	1	true	GAMG	5.62151760e-03	5.47421520e-05	11	true	DILUPBiCGStab	2.10719290e-02	1.22969810e-03	1	true	DILUPBiCGStab	2.98554660e-04	2.54136530e-06	1	true
72              	DILUPBiCGStab	3.24887920e-03	2.20542360e-05	1	2.61596160e-03	2.33523340e-05	1	false	DILUPBiCGStab	8.88379810e-04	8.14506230e-05	1	true	GAMG	5.55674950e-03	5.54797060e-05	11	true	DILUPBiCGStab	2.02127340e-02	1.17501540e-03	1	true	DILUPBiCGStab	2.90247230e-04	2.46478360e-06	1	true
